"","t","logFC","P.Value","status","type"
"1",405.000703931882,13.340684655,1.93633405391075e-11,1,"myeloma"
"2",397.838494708595,12.8467438225,2.09822442833846e-11,1,"myeloma"
"3",395.084351328509,13.4394898425,2.16485498820531e-11,1,"myeloma"
"4",387.32329358882,13.46403885,2.36702653347714e-11,1,"myeloma"
"5",386.390511572916,13.3623650075,2.39285026493788e-11,1,"myeloma"
"6",385.927570654639,12.832446575,2.40579444177685e-11,1,"myeloma"
"7",382.420642229481,13.300797225,2.50668223613847e-11,1,"myeloma"
"8",377.124674550566,12.526453015,2.66903273428236e-11,1,"myeloma"
"9",375.804424005194,12.259081125,2.71148931542504e-11,1,"myeloma"
"10",374.213716423961,13.1764864925,2.76374524583205e-11,1,"myeloma"
"11",367.825144844195,12.7853434075,2.98642346802272e-11,1,"myeloma"
"12",362.971979236931,13.34956074,3.17036762432198e-11,1,"myeloma"
"13",362.964574843627,11.65022993,3.17065868020586e-11,1,"myeloma"
"14",362.932468996332,13.035063505,3.17192109203178e-11,1,"myeloma"
"15",360.98291381315,12.717063665,3.2497428495371e-11,1,"myeloma"
"16",359.493652148219,13.18435526,3.31076713006564e-11,1,"myeloma"
"17",359.24000998117,12.384569645,3.32129954033357e-11,1,"myeloma"
"18",352.620013227067,12.016623975,3.61126180123726e-11,1,"myeloma"
"19",349.612478953926,13.098397255,3.75318181495051e-11,1,"myeloma"
"20",349.120019387266,13.4925959125,3.7770650130912e-11,1,"myeloma"
"21",348.957003698143,11.6982669825,3.78501180766571e-11,1,"myeloma"
"22",348.849696416268,12.144064905,3.79025404712119e-11,1,"myeloma"
"23",347.832473759785,12.0438525675,3.84039142325868e-11,1,"myeloma"
"24",342.647310487249,12.2453830225,4.10893154382433e-11,1,"myeloma"
"25",342.21427117333,12.96317005,4.13238162167557e-11,1,"myeloma"
"26",341.869803984995,12.40056777,4.15115220439039e-11,1,"myeloma"
"27",340.978947521851,11.2540650375,4.20018184485403e-11,1,"myeloma"
"28",339.693590387905,12.560964585,4.27217716811274e-11,1,"myeloma"
"29",339.679277087179,12.901978255,4.27298733830355e-11,1,"myeloma"
"30",339.036275363657,12.52888322,4.30957739902946e-11,1,"myeloma"
"31",337.805393995125,12.895607235,4.38069505167879e-11,1,"myeloma"
"32",334.554766681397,13.5493135425,4.57552181230886e-11,1,"myeloma"
"33",334.327454685857,12.5343446725,4.58953805046673e-11,1,"myeloma"
"34",333.793490174365,12.6965878025,4.62266969543376e-11,1,"myeloma"
"35",333.110958365641,13.21811962,4.66544643640905e-11,1,"myeloma"
"36",331.221486571688,13.0205709925,4.78641522806384e-11,1,"myeloma"
"37",330.819918171882,11.622794625,4.81261661378593e-11,1,"myeloma"
"38",330.690693146436,12.8916275525,4.82108550139015e-11,1,"myeloma"
"39",330.242786190455,12.8479492675,4.85058084814113e-11,1,"myeloma"
"40",330.231902021841,12.975701095,4.85130032766168e-11,1,"myeloma"
"41",329.592869443386,12.66798377,4.89377208328706e-11,1,"myeloma"
"42",329.372242408065,12.1031942375,4.90854097469475e-11,1,"myeloma"
"43",329.236751087505,11.23772907,4.9176378382611e-11,1,"myeloma"
"44",328.188672130014,12.3821122675,4.98870633003204e-11,1,"myeloma"
"45",327.323951824292,12.6288466475,5.04828854214439e-11,1,"myeloma"
"46",327.034384735695,12.3757438675,5.06843487521698e-11,1,"myeloma"
"47",326.019419172687,12.82177377,5.13983033809497e-11,1,"myeloma"
"48",325.302820948536,12.654043435,5.19097893966886e-11,1,"myeloma"
"49",324.978957064645,11.9609453675,5.21429938662727e-11,1,"myeloma"
"50",323.929020771495,12.6663908975,5.2907876945884e-11,1,"myeloma"
"51",322.44359189767,12.0809822075,5.40135884642187e-11,1,"myeloma"
"52",322.33967663815,12.586191655,5.40919921112146e-11,1,"myeloma"
"53",321.665844230847,13.00401139,5.46037853496244e-11,1,"myeloma"
"54",320.005530406748,12.699552535,5.58903169563065e-11,1,"myeloma"
"55",319.790119500733,12.03379035,5.60599355950856e-11,1,"myeloma"
