"","t","logFC"
"212869_x_at",405.000703931882,13.340684655
"207783_x_at",397.838494708595,12.8467438225
"216442_x_at",395.084351328509,13.4394898425
"210495_x_at",387.32329358882,13.46403885
"201429_s_at",386.390511572916,13.3623650075
"210646_x_at",385.927570654639,12.832446575
"224372_at",382.420642229481,13.300797225
"213414_s_at",377.124674550566,12.526453015
"200059_s_at",375.804424005194,12.259081125
"211943_x_at",374.213716423961,13.1764864925
"200741_s_at",367.825144844195,12.7853434075
"211719_x_at",362.971979236931,13.34956074
"214351_x_at",362.964574843627,11.65022993
"208695_s_at",362.932468996332,13.035063505
"212790_x_at",360.98291381315,12.717063665
"213583_x_at",359.493652148219,13.18435526
"200092_s_at",359.24000998117,12.384569645
"200094_s_at",352.620013227067,12.016623975
"201049_s_at",349.612478953926,13.098397255
"212464_s_at",349.120019387266,13.4925959125
"212191_x_at",348.957003698143,11.6982669825
"202649_x_at",348.849696416268,12.144064905
"200869_at",347.832473759785,12.0438525675
"212082_s_at",342.647310487249,12.2453830225
"211983_x_at",342.21427117333,12.96317005
"200633_at",341.869803984995,12.40056777
"222229_x_at",340.978947521851,11.2540650375
"200025_s_at",339.693590387905,12.560964585
"200933_x_at",339.679277087179,12.901978255
"216438_s_at",339.036275363657,12.52888322
"213214_x_at",337.805393995125,12.895607235
"204892_x_at",334.554766681397,13.5493135425
"211487_x_at",334.327454685857,12.5343446725
"211956_s_at",333.793490174365,12.6965878025
"212284_x_at",333.110958365641,13.21811962
"216520_s_at",331.221486571688,13.0205709925
"208724_s_at",330.819918171882,11.622794625
"226131_s_at",330.690693146436,12.8916275525
"211970_x_at",330.242786190455,12.8479492675
"224585_x_at",330.231902021841,12.975701095
"200716_x_at",329.592869443386,12.66798377
"214687_x_at",329.372242408065,12.1031942375
"217773_s_at",329.236751087505,11.23772907
"200031_s_at",328.188672130014,12.3821122675
"201033_x_at",327.323951824292,12.6288466475
"200062_s_at",327.034384735695,12.3757438675
"201257_x_at",326.019419172687,12.82177377
"208904_s_at",325.302820948536,12.654043435
"200017_at",324.978957064645,11.9609453675
"204102_s_at",323.929020771495,12.6663908975
"200966_x_at",322.44359189767,12.0809822075
"213347_x_at",322.33967663815,12.586191655
"221607_x_at",321.665844230847,13.00401139
"211720_x_at",320.005530406748,12.699552535
"212734_x_at",319.790119500733,12.03379035
"212988_x_at",318.110369819646,12.901310205
"213614_x_at",317.744190300288,13.18570757
"1553569_at",317.365602934977,13.0396134825
"211972_x_at",317.3435350891,12.4963684075
"200674_s_at",316.311604293063,12.7930822375
"210427_x_at",316.005899710992,12.957826375
"211942_x_at",314.335886769117,11.9212272175
"201665_x_at",313.141924769973,12.45025444
"213860_x_at",312.936760853241,10.20017028
"210648_x_at",312.87659526012,10.993929865
"200662_s_at",312.523629162356,10.25032878
"202760_s_at",311.123418645583,9.93409085275
"221700_s_at",310.407277908619,11.549546005
"224573_at",309.440580002354,10.959748745
"208856_x_at",308.181501289483,12.6382825375
"232032_x_at",307.295845552012,10.2528531575
"206559_x_at",307.057713302853,13.2047767625
"200823_x_at",306.481867253216,11.30948758
"200689_x_at",305.754154639332,11.9919233325
"200018_at",305.185468922327,12.489601375
"201590_x_at",304.951416237031,12.939922095
"200007_at",304.18376779156,11.44399047
"213503_x_at",303.184695922164,12.8515651225
"211296_x_at",302.203277625661,13.232437135
"201029_s_at",301.122257190077,11.7298789025
"200717_x_at",300.74070420715,12.8403506275
"202673_at",300.469019550791,9.646774292
"213102_at",300.090918597021,10.6855678575
"212578_x_at",299.769067693954,12.369048595
"201492_s_at",299.502407420077,13.41839528
"213037_x_at",298.830549299402,9.7936673165
"200763_s_at",298.340229167064,13.0157358675
"201145_at",297.088538499067,9.50053358075
"223209_s_at",296.324666584737,9.66950988775
"AFFX-HSAC07/X00351_3_at",296.271985946125,12.90300727
"215823_x_at",296.227931885191,10.89365649
"202698_x_at",296.136323799605,11.0141766075
"213969_x_at",295.94441938037,11.9775953275
"211445_x_at",295.883407361623,10.5363168725
"200755_s_at",295.869001171291,10.7450175275
"213867_x_at",295.067910679989,12.848658085
"200024_at",294.238662402868,11.99956274
"202029_x_at",293.936865630724,11.8176586625
"213477_x_at",293.407482302704,13.1873083125
"201471_s_at",293.380514746031,9.9299378395
"212363_x_at",293.027506035047,12.872441055
"200003_s_at",292.952650552088,12.7771022325
"210809_s_at",292.034826290207,13.1148965325
"206158_s_at",291.760163437404,9.80298733725
"217982_s_at",291.708512451486,11.6776294725
"1553567_s_at",291.272165300458,12.8917493825
"217938_s_at",290.969247681915,9.53666234025
"223001_at",290.499497721308,10.7742719675
"209651_at",290.490295531932,9.99805522175
"222410_s_at",290.184993167437,9.93750906
"221476_s_at",289.686929586515,11.401610375
"200912_s_at",289.514414189842,11.4768025875
"221493_at",289.321174516963,9.4009165765
"212391_x_at",288.329856831612,12.8422586925
"212042_x_at",288.034686436751,12.26651621
"201121_s_at",287.939895120417,9.97086787125
"212933_x_at",287.52939798929,11.0505945675
"200032_s_at",286.915180043369,12.2733807575
"221381_s_at",286.594186906521,9.5071811675
"203034_s_at",286.476250899303,12.7138462075
"201991_s_at",286.439954681886,10.608793735
"224561_s_at",286.001773974487,10.88320446
"37408_at",285.785274496073,10.29125595
"214363_s_at",284.716478953789,10.5781865125
"224656_s_at",284.354791075737,10.698520185
"200774_at",284.273948849125,10.310274125
"208540_x_at",283.905052099555,10.1614038925
"200077_s_at",283.401656255307,12.3221361625
"209249_s_at",282.76489963706,9.79415631275
