t,logFC,status
-24.71621452,-4.087490916,1
22.54184575,3.658986827,0
-14.76409688,-1.281602621,1
-13.12941502,-1.148910523,1
-12.57232455,-1.612357139,1
-12.44547726,-1.530166586,1
-12.37608311,-1.71318531,1
11.89474695,1.750405351,0
11.69689898,2.560345252,0
11.20779203,1.018282692,0
-11.15333666,-1.344704231,1
11.04437408,1.138656775,0
-10.97424273,-1.796575467,1
10.8938877,2.266645849,0
-10.84156388,-1.188983242,1
-10.82924668,-1.124943892,1
10.82723514,2.060905377,0
-10.79123115,-1.048452139,1
-10.69992136,-2.517787059,1
10.61224243,1.046605865,0
-10.29076049,-0.767723084,1
10.27895331,1.483687143,0
-10.20960561,-1.505143325,1
10.03979838,0.9006441433,0
-10.00429789,-1.536480983,1
-9.989585581,-1.515997689,1
-9.943362544,-1.333820581,1
-9.90531595,-0.9454965988,1
-9.78612846,-2.296357751,1
-9.710690743,-1.034890731,1
-9.685706693,-2.07303985,1
-9.673433018,-1.194321513,1
-9.541733063,-1.862417857,1
-9.539324981,-0.7104788225,1
-9.525798005,-0.9908180245,1
-9.468853384,-2.034906387,1
-9.458936935,-0.9446229933,1
-9.424447253,-0.9645704428,1
-9.403743711,-0.9317669865,1
-9.331285977,-1.860451142,1
-9.302344458,-1.624439637,1
-9.300939461,-0.8937636218,1
-9.278216301,-0.9535454513,1
-9.249478628,-0.6712432708,1
-9.222429184,-1.002547939,1
-9.220192367,-0.9721660612,1
9.184318627,2.281457027,0
9.182095305,0.840806524,0
-9.174643028,-0.9578357537,1
9.156571049,2.449670474,0
9.152726107,0.864686211,0
-9.118848955,-0.72543629,1
9.051292795,1.519279917,0
9.047539066,1.262558778,0
-9.026264977,-0.634232839,1
8.975899365,1.533964316,0
8.960148889,1.984015664,0
-8.710094538,-0.9961872896,1
-8.708954852,-1.272491296,1
-8.658783628,-2.250952562,1
-8.633177344,-0.8709372284,1
8.608579741,1.831987977,0
8.540514767,1.160879056,0
-8.531393241,-1.247030576,1
-8.511418774,-0.620804469,1
-8.4597857,-0.8426837526,1
-8.442148355,-1.471429427,1
8.41952999,1.25326681,0
-8.417281014,-0.8893779912,1
8.40902133,1.932227373,0
8.398254591,1.222036679,0
-8.375555551,-1.282769839,1
-8.341672628,-0.6878748736,1
-8.330939924,-0.6870481175,1
-8.327885823,-1.253898025,1
-8.32104477,-1.480155984,1
8.275581595,0.9427699254,0
8.274308866,1.684340914,0
-8.273756559,-3.069336851,1
-8.247842761,-2.130813798,1
-8.243520786,-3.852743904,1
8.210714023,1.262077828,0
8.142472009,1.950589974,0
8.123766059,0.5903326271,0
8.092620834,1.462296446,0
-8.05671227,-1.607605616,1
-8.041871488,-0.9990975858,1
-8.021846214,-0.823241154,1
-8.017986314,-2.821170966,1
-8.013418252,-2.128762682,1
7.986866878,0.7227961219,0
-7.985791706,-2.432857077,1
7.983990285,0.7254600322,0
7.944768866,1.933815559,0
