"","t","logFC"
"cg04510420",397.312723102815,0.986551710815161
"cg03888765",396.926902348002,0.989111137575584
"cg25924823",395.743686991489,0.983684730411598
"cg20071305",395.170420706829,0.986551471385543
"cg18605905",394.832801735425,0.985747017551003
"cg25454298",393.780835650027,0.98136692862906
"cg19602374",392.320332686051,0.988434382161757
"cg17441377",390.820182997998,0.981573675417324
"cg11709150",390.590551112944,0.99158556731015
"cg09869015",390.493482742453,0.987690526328755
"cg20530246",389.85733238972,0.990857081467032
"cg08701028",389.441190207368,0.980681675937513
"cg17642568",389.260365784546,0.986464665509491
"cg11715095",388.608379638374,0.988509676731401
"cg11552370",388.404662495487,0.979590136758121
"cg03514395",387.909135085457,0.989578703527139
"cg14586363",387.526023385962,0.982454418926829
"cg21902867",387.299821193437,0.988833653813731
"cg17637585",387.056601740945,0.990093453630729
"cg02388727",387.042217700456,0.986734005994839
"cg16562913",386.843445109309,0.976301120730611
"cg14252111",386.821940627133,0.98732296661089
"cg13384867",386.793416303009,0.98449013770764
"cg08327705",386.663321618404,0.973806887396907
"cg06704466",386.498015200458,0.985580376207449
"cg10925417",386.383362545034,0.990252168165709
"cg12674336",386.055364576796,0.981569178382262
"cg01296694",385.823573189992,0.984636594122454
"cg05569793",385.81982958266,0.986909290543414
"cg09663219",385.810156432033,0.991209785546595
"cg05540617",385.808839097658,0.988089874484457
"cg00961127",385.649943796596,0.990591870385698
"cg26400938",385.351358257671,0.98693972610507
"cg23910098",385.083270650789,0.986439582676286
"cg19640789",385.064704539109,0.988974710991192
"cg15992935",384.922354117097,0.988497763521889
"cg05613364",384.573310433491,0.986740925478313
"cg02365754",384.40632857354,0.985587502040761
"cg05360371",384.311694009489,0.984490436410123
"cg25226014",384.2523497623,0.98116899515665
"cg14531564",384.061499312363,0.968822476066255
"cg04201271",383.906375813594,0.985109845492637
"cg05565277",383.901140209156,0.985321554431287
"cg22753661",383.639382027781,0.988395470118185
"cg10397921",383.204407287178,0.987483658173018
"cg24134016",383.192791668574,0.991030934249984
"cg26505371",383.060411358363,0.985358239266278
"cg01717276",382.963671152,0.983199235410757
"cg21230774",382.96300541258,0.980180577568546
"cg00190508",382.947687486233,0.975813453320329
"cg06433097",382.94527064225,0.980555048847045
"cg23585687",382.819266194222,0.987467614144621
"cg05744538",382.767270065238,0.982827984373045
"cg04075264",382.638908147844,0.990692594991988
"cg23653826",382.4662911848,0.985201656661863
"cg17129028",382.251857732758,0.98484891663933
"cg03376062",382.139236662112,0.988815978985355
"cg18802601",381.974881468396,0.99224201135065
"cg15665949",381.848582663632,0.989174441712833
"cg04361015",381.689176021269,0.984990381157079
"cg04426959",381.366835092906,0.99032544447789
"cg27535410",381.193557448595,0.986589841748137
"cg20303917",381.188501548655,0.989258346929587
"cg18592294",381.171054743234,0.986096364167632
"cg10172250",380.858321944528,0.989953674488027
"cg13356429",380.819929490849,0.992272206396036
"cg22735971",380.819509724846,0.984292920416952
"cg07173149",380.519205907646,0.982770673974692
"cg11031545",380.509772040786,0.988378575469966
"cg00284420",380.466589733226,0.986689733860936
"cg07221103",380.218024368995,0.987158193598763
"cg23586121",380.062904324066,0.986730116232279
"cg23674904",379.977875339599,0.985917005124001
"cg06354866",379.960901037137,0.977911952963698
"cg05505747",379.952419102641,0.986263669044532
"cg04697482",379.937203590018,0.976381112066936
"cg26444640",379.879273329069,0.984082869551402
"cg20085638",379.800835922719,0.980089677783866
"cg24780845",379.657427934852,0.987986396475614
"cg20202563",379.652434543295,0.988744093315252
"cg11369662",379.599761058946,0.985586212665232
"cg04895640",379.425704406963,0.986379641310613
"cg05887749",379.375747604103,0.986339601889948
"cg06530270",379.22673822061,0.978891379701245
